codigo_ibge,Nome_Município,Territórios de Desenvolvimento,Aglomerado,Gerência Regional de Ensino GRE,População em 2022 IBGE,Faixa populacional
2210300,São Julião,Vale do Rio Guaribas,15,16ª,6025,5.001 a 10.000 de habitantes
2210359,São Lourenço do Piauí,Serra da Capivara,20,13ª,4410,Menos de 5.000 habitantes
2210375,São Luis do Piauí,Vale do Rio Guaribas,12,9ª,2309,Menos de 5.000 habitantes
2210383,São Miguel da Baixa Grande,Vale do Sambito,10,7ª,2269,Menos de 5.000 habitantes
2210391,São Miguel do Fidalgo,Vale dos Rios Piauí e Itaueiras,22,8ª,2829,Menos de 5.000 habitantes
2210409,São Miguel do Tapuio,Carnaubais,6,5ª,17554,10.001 a 20.000 de habitantes
2210508,São Pedro do Piauí,Entre Rios,9,6ª,13755,10.001 a 20.000 de habitantes
2210607,São Raimundo Nonato,Serra da Capivara,20,13ª,38934,20.001 a 50.000 de habitantes
2210623,Sebastião Barros,Chapada das Mangabeiras,28,15ª,3202,Menos de 5.000 habitantes
2210631,Sebastião Leal,Tabuleiros do Alto Parnaíba,25,11ª,4446,Menos de 5.000 habitantes
2210656,Sigefredo Pacheco,Carnaubais,5,5ª,9460,5.001 a 10.000 de habitantes
2210706,Simões,Chapada Vale do Rio Itaim,13,16ª,14350,10.001 a 20.000 de habitantes
2210805,Simplício Mendes,Vale do Canindé,17,12ª,13870,10.001 a 20.000 de habitantes
2210904,Socorro do Piauí,Vale dos Rios Piauí e Itaueiras,22,12ª,4141,Menos de 5.000 habitantes
2210938,Sussuapara,Vale do Rio Guaribas,12,9ª,6220,5.001 a 10.000 de habitantes
2210953,Tamboril do Piauí,Vale dos Rios Piauí e Itaueiras,23,12ª,2949,Menos de 5.000 habitantes
2210979,Tanque do Piauí,Vale do Canindé,16,8ª,2316,Menos de 5.000 habitantes
2211001,Teresina,Entre Rios,7,"4ª, 19ª, 20ª, 21ª",866300,Acima de 50.000 habitantes
2211100,União,Entre Rios,7,18ª,46119,20.001 a 50.000 de habitantes
2211209,Uruçuí,Tabuleiros do Alto Parnaíba,25,11ª,25203,20.001 a 50.000 de habitantes
2211308,Valença do Piauí,Vale do Sambito,11,7ª,22279,20.001 a 50.000 de habitantes
2211357,Várzea Branca,Serra da Capivara,19,13ª,5055,5.001 a 10.000 de habitantes
2211407,Várzea Grande,Vale do Sambito,11,7ª,4417,Menos de 5.000 habitantes
2211506,Vera Mendes,Vale do Rio Guaribas,12,9ª,3185,Menos de 5.000 habitantes
2211605,Vila Nova do Piauí,Vale do Rio Guaribas,15,16ª,2935,Menos de 5.000 habitantes
2211704,Wall Ferraz,Vale do Canindé,16,9ª,4059,Menos de 5.000 habitantes
